aircraft_name,range_km,typical_seating,max_seating,wingspan_m,overall_length_m,height_m,fuselage_width_m,track_m,wheelbase_m,mmo-maxopmach,max_ramp_weight_tonnes,max_takeoff_weight_tonnes,max_landing_weight_tonnes,max_zero_fuel_weight_tonnes,max_fuel_capacity_litres
a318,5750,107,132,34.1,31.44,12.56,3.95,7.59,10.25,0.82,59.4,59,56,53,24210
a319,6850,124,156,35.8,33.84,11.76,3.95,7.59,11.04,0.82,64.4,64,61,57,24210
a320,6100,150,180,35.8,37.57,11.76,3.95,7.59,12.64,0.82,73.9,73.5,64.5,61,24210
a321,5950,185,236,35.8,44.51,11.76,3.95,7.59,16.91,0.82,89.4,89,75.5,71.5,24050
a330-200,13400,246,380,60.3,58.82,17.39,5.64,10.69,22.2,0.86,230.9,230,180,168,139090
a330-300,11300,300,440,60.3,63.69,16.83,5.64,10.69,25.6,0.86,230.9,230,185,173,97530
a340-200,12400,261,261,60.3,59.4,16.8,5.64,10.69,23.24,0.86,275,275,181,169,155040
a340-300,13700,300,440,60.3,63.69,16.91,5.64,10.69,25.6,0.86,275.9,275,190,180,140640
a340-500,16670,282,375,63.45,67.93,17.28,5.64,10.69,27.59,0.86,373.2,372,243,230,215260
a340-600,14600,359,475,63.45,75.36,17.22,5.64,10.69,32.89,0.86,369.2,368,259,245,195520
a350-800,15300,276,276,64.75,60.54,17.05,5.96,10.6,24.86,0.89,248.9,248,190,178,138000
a350-900,14350,315,315,64.75,66.8,17.05,5.96,10.6,28.67,0.89,268.9,268,205,192,138000
a350-1000,14800,369,369,64.75,73.78,17.08,5.96,10.73,32.48,0.89,308.9,308,233,220,156000
a380,15200,544,853,79.75,72.72,24.09,7.14,14.34,31.88,0.89,577,575,394,369,320000
